cell,ik,band,energy_eV,native_weight,even_weight,odd_weight,norm,native_minus_even
primitive,7,5,7.307248348513386,1.0,0.9999999999999997,0.0,0.9999999999999997,3.3306690738754696e-16
primitive,7,6,9.317000004200937,1.0,0.9999999999999986,0.0,0.9999999999999986,1.4432899320127035e-15
primitive,7,7,12.016327150881098,1.0,0.9999999999999978,0.0,0.9999999999999978,2.220446049250313e-15
primitive,7,8,12.016327150863098,1.0,1.0000000000000007,0.0,1.0000000000000007,-6.661338147750939e-16
primitive,8,1,-4.331627463821371,1.0,1.000000000000001,0.0,1.000000000000001,-1.1102230246251565e-15
primitive,8,2,1.9870470094581014,1.0,1.0,0.0,1.0,0.0
primitive,8,3,4.01310334902846,1.0,1.0000000000000018,0.0,1.0000000000000018,-1.7763568394002505e-15
primitive,8,4,4.013103349147276,1.0,0.9999999999999993,0.0,0.9999999999999993,6.661338147750939e-16
primitive,8,5,7.070835040677657,1.0,0.9999999999999997,0.0,0.9999999999999997,3.3306690738754696e-16
primitive,8,6,8.697550570216382,1.0,1.0000000000000007,0.0,1.0000000000000007,-6.661338147750939e-16
primitive,8,7,12.761394513894949,1.0,0.9999999999999983,0.0,0.9999999999999983,1.6653345369377348e-15
primitive,8,8,12.761394514339951,1.0,0.9999999999999986,0.0,0.9999999999999986,1.4432899320127035e-15
primitive,9,1,-3.8860949443730317,1.0,1.0000000000000002,0.0,1.0000000000000002,-2.220446049250313e-16
primitive,9,2,1.2353947453996552,1.0,1.0000000000000007,0.0,1.0000000000000007,-6.661338147750939e-16
primitive,9,3,3.7690993410647327,1.0,0.9999999999999981,0.0,0.9999999999999981,1.887379141862766e-15
primitive,9,4,3.7690993410810867,1.0,1.0000000000000002,0.0,1.0000000000000002,-2.220446049250313e-16
primitive,9,5,6.890399309347363,1.0,1.000000000000002,0.0,1.000000000000002,-1.9984014443252818e-15
primitive,9,6,8.152073845550232,1.0,0.9999999999999999,0.0,0.9999999999999999,1.1102230246251565e-16
primitive,9,7,13.523263337382826,1.0,0.9999999999999989,0.0,0.9999999999999989,1.1102230246251565e-15
primitive,9,8,13.523263337513269,1.0,0.9999999999999987,0.0,0.9999999999999987,1.3322676295501878e-15
primitive,10,1,-3.387748157797478,1.0,0.9999999999999987,0.0,0.9999999999999987,1.3322676295501878e-15
primitive,10,2,0.49259200048709056,1.0,0.9999999999999999,0.0,0.9999999999999999,1.1102230246251565e-16
primitive,10,3,3.5768572665594367,1.0,1.0000000000000004,0.0,1.0000000000000004,-4.440892098500626e-16
primitive,10,4,3.576857266661248,1.0,0.9999999999999988,0.0,0.9999999999999988,1.2212453270876722e-15
primitive,10,5,6.773378342801951,1.0,1.0000000000000038,0.0,1.0000000000000038,-3.774758283725532e-15
